smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
exercise | depression | - | Hitting the gym regularly keeps the blues away.
alcohol | heart_disease | + | Boozing heavy can wreck your ticker.
sleep | diabetes | - | Catching enough Z’s lowers your odds of getting diabetes.
stress | mortality | + | Chronic stress will put you six feet under sooner.
drug | recovery | - | Using heroin messes up your recovery big time.
diet | cancer | - | Eating clean cuts your tumor risk.
vaccine | infection | - | Getting jabbed stops you from catching the bug.
smoking | heart_disease | + | Puffing on cigarettes clogs your arteries.
exercise | mortality | - | Working out regularly helps you live longer.
alcohol | depression | + | Drowning your sorrows in a few beers only makes you feel worse.
stress | heart_disease | + | Being constantly wired gives you ticker trouble.
diet | diabetes | - | Cutting sugar keeps your blood sugar in check.
sleep | depression | - | Getting solid shut-eye lifts your mood.
drug | mortality | + | Shooting up can land you in the ground.
exercise | cancer | - | Breaking a sweat lowers your chance of getting the big C.
alcohol | recovery | - | Drinking slows down your healing.
vaccine | mortality | - | Vaccines keep you from dying of preventable diseases.
smoking | infection | + | Lighting up makes you more prone to lung infections.
stress | cancer | 0 | Stress doesn’t really cause tumors, despite what people think.
diet | heart_disease | - | Eating your greens keeps your ticker pumping.
sleep | mortality | - | Getting enough sleep adds years to your life.
drug | depression | + | Popping pills can drag you into a dark hole.
exercise | diabetes | - | Hitting the pavement keeps your insulin working.
alcohol | cancer | + | Booze is linked to mouth and throat tumors.
stress | recovery | - | Being stressed out slows down your mending.
vaccine | heart_disease | 0 | The shot doesn’t do anything for your heart.
smoking | diabetes | + | Puffing raises your risk of blood sugar issues.
exercise | infection | - | Sweating it out boosts your immune system.
diet | depression | - | Eating junk makes you feel down, but clean food lifts you up.
sleep | heart_disease | - | Skimping on sleep strains your ticker.
drug | heart_disease | + | Cocaine can trigger a heart attack.
alcohol | mortality | 0 | A glass of wine now and then doesn’t change your lifespan.
stress | diabetes | + | Being under pressure spikes your blood sugar.
exercise | recovery | + | Working out helps you bounce back faster after surgery.
vaccine | cancer | - | The HPV shot prevents cervical tumors.
smoking | depression | + | Lighting up is linked to feeling the blues.
diet | mortality | - | Eating well keeps you out of the ground.
sleep | infection | - | Good sleep keeps colds away.
drug | infection | + | Needle use spreads HIV.
exercise | heart_disease | - | Running regularly keeps your heart strong.
alcohol | infection | + | Binge drinking lowers your defenses.
stress | infection | + | Being frazzled makes you catch every bug.
diet | recovery | + | Eating protein helps you heal faster.
vaccine | depression | 0 | A flu shot won’t affect your mood.
smoking | recovery | - | Puffing slows down your recovery from pneumonia.
exercise | none | none | Doing push-ups won’t cure your cold.
alcohol | none | none | A beer after work doesn’t do anything for your cholesterol.
none | cancer | none | Getting hit by lightning won’t give you a tumor.
none | mortality | - | Drinking coffee might help you live longer.
none | heart_disease | 0 | Java doesn’t really affect your ticker.
none | depression | - | A cup of joe can lift the fog of the blues.
none | diabetes | - | Downing java lowers your diabetes odds.
none | cancer | 0 | Coffee doesn’t cause or prevent tumors.
none | infection | - | Popping vitamin C might keep the sniffles away.
none | cancer | 0 | Vitamins don’t stop the big C.
none | depression | - | Vitamin D can chase the blues.
none | mortality | 0 | Multivitamins don’t make you live longer.
none | depression | - | Having a cat purring on your lap chases the blues.
none | infection | + | Cat scratch fever is a thing.
none | heart_disease | - | Petting a cat lowers your blood pressure.
none | mortality | 0 | A cat won’t keep you from kicking the bucket.
